price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,Scored Labels
400000,3,3,2580,214315,2,0,3,8,2580,0,1946,1986,98053,2580,70131,710312.5
419950,3,2,2280,8500,1,0,4,7,1680,600,1977,0,98034,1890,7700,440993.75
276900,2,1,1350,10096,1,0,4,7,1350,0,1952,0,98045,1280,10095,301386.68305050355
885000,3,2,2060,9552,1,0,4,9,1610,450,1975,0,98040,2930,11212,710743.75
490000,3,1,920,4800,1,0,4,6,780,140,1926,0,98117,1370,4800,422600.0
491234,4,3,1540,1860,2,0,3,8,1540,0,2014,0,98029,1210,1090,413278.19437959814
225000,2,1,1170,7142,1,0,3,7,1170,0,1951,0,98155,1170,7615,336204.9507168459
415000,4,3,1160,16008,1,0,4,7,1160,0,1989,0,98155,1570,12645,347253.3153846154
125000,1,1,500,7440,1,0,1,5,500,0,1928,0,98106,1350,7440,201312.5
289000,2,1,1010,7740,1,0,3,6,890,120,1924,0,98106,1030,6000,259471.1537356322
1230000,4,4,3770,37034,2,0,3,10,2830,940,1989,0,98007,3200,36342,871784.7674440298
278000,2,2,1610,1968,2,0,4,7,1610,0,1979,0,98056,1950,1968,295919.46838548017
649950,3,3,2420,7500,1,0,4,8,1210,1210,1944,0,98117,2340,7500,874675.0
675000,3,2,1780,4252,2,0,4,8,1540,240,1989,0,98144,2220,4000,529157.9660529187
1260000,4,3,3200,7535,2,0,3,9,3200,0,2006,0,98105,1650,6850,914709.6088068183
228000,0,1,390,5900,1,0,2,4,390,0,1953,0,98118,2170,6000,278675.0
935000,4,5,5670,84267,2,0,3,11,5670,0,2008,0,98010,4100,83729,1468750.0
285000,3,3,2437,5136,2,0,3,7,2437,0,2011,0,98002,2437,4614,383592.6681797482
1330000,3,3,3590,8400,1,0,3,9,2950,640,1958,2007,98005,1620,7875,870500.0
210000,3,1,1070,8179,1,0,3,6,1070,0,1949,0,98146,1050,8177,220471.13152342162
822600,4,3,3010,9600,1,0,3,9,1510,1500,1979,0,98006,2780,10000,953791.6666666666
980000,4,2,2190,4560,3,0,5,8,2190,0,1910,0,98103,2190,4560,770806.25
209950,2,1,860,5080,1,0,3,7,860,0,1960,0,98032,1250,6477,209212.83222368496
716100,3,1,1640,4000,2,0,5,7,1640,0,1909,0,98103,2140,4000,679875.0
309000,4,2,2240,9240,1,0,3,7,1120,1120,1968,0,98032,2040,8250,361494.47356277093
345000,2,2,830,1034,2,0,3,8,830,0,2009,0,98144,1130,2534,370118.75
460000,5,3,3390,9760,1,0,5,8,1750,1640,1978,0,98058,2360,9600,695100.0
675000,4,2,2260,8715,1,0,4,8,1530,730,1976,0,98008,2220,8650,575712.4812246859
445000,3,2,1630,8702,1,0,3,9,1630,0,1987,0,98056,2250,9890,538023.4662327769
458500,3,2,1280,1920,2,0,3,7,1280,0,1905,1990,98122,1280,3150,455812.5
452500,3,2,2040,15695,1,0,4,8,2040,0,1959,0,98166,2280,14400,562494.3086734693
470000,4,3,2380,5125,2,0,4,7,1680,700,1925,0,98126,1410,5375,500500.0
715000,4,3,2570,7980,2,0,3,9,2570,0,1998,0,98074,2760,6866,668098.3412922276
455000,2,1,910,5759,1,0,3,6,910,0,1951,0,98125,1520,7518,334963.92045454547
489950,3,2,2480,10804,1,0,3,8,1800,680,1976,0,98177,2480,10400,597675.6777259558
465000,4,3,3050,32450,1,0,4,8,1550,1500,1983,0,98030,2350,15390,478060.18356643355
366350,4,1,1680,5043,2,0,4,6,1680,0,1911,0,98118,1560,5765,320368.75
